affiliate,affiliateId,alertSource,alertSourceId,alertType,alertTypeId,amount,application,application2,applicationId,applicationId2,attempt,authCode,bin,binCountry,campaign,campaignId,cardBrand,cardBrandId,chargebackFee,chargedBack,company,companyId,completed,containsSalesStrategy,currency,customerId,descriptor,eci,email,firstName,gateway,gatewayTransactionId,hasAlert,ipCountry,last4,lastName,merchantAccountId,mid,midName,networkTokenized,orderId,originalApplication,originalApplicationId,originalTransactionId,parentCompanyId,paymentNumber,product,productId,refundSource,refundSourceId,refundable,refunded,sandbox,sent,shopId,status,statusId,storeDomain,storeName,storeRootDomain,submitOrderId,subscription,subscriptionId,success,transactionId
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,903645,US,None/Unassigned,0,Mastercard,2,0,False,Innoac LLC,193,2026-02-03T00:01:05,False,USD,DEMO43280604,dgmdia.com,,upamknyt@test.com,Jordan,NMI,11661537235,False,US,5957,Moore,1114,565500000999371,Inn-Dgm-EMS-9371,True,202215582,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:05,0,Do not honor.,3618,,,,202215579,US - Google XSale $29.99/m (12 days),8526,False,5d33e75d-45b4-42c0-8bc6-1420692c6e8e
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,097140,725066,US,None/Unassigned,0,Visa,1,0,False,Vintech LLC,400,2026-02-03T00:01:06,False,USD,DEMO39761385,meal-mp.com,,iviughkp@sample.com,Skylar,NMI,11661537449,False,US,8197,Anderson,2196,745280227899,Vin-Mlm-PPS-7899,False,202773154,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,True,False,False,2026-02-03T00:01:06,0,Preauthorized,3367,,,,202773152,US - Google - PreAuth $2,8453,False,b5307c29-4302-47da-8cda-162ff071f49c
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,247508,US,None/Unassigned,0,Visa,1,0,False,Exibyte LLC,267,2026-02-03T00:01:06,False,USD,DEMO43280412,mdamsc.com,,owfufxwe@demo.com,Alex,NMI,11661537542,False,US,9052,Martinez,1379,746365006994,Exb-Mms-PPS-6994,False,202215084,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:06,0,Pick up card - SF,3822,,,,202215081,US - Google XSale $29.99/m (12 days),8526,False,4d5b01df-e42b-4be7-b7fc-50fd7384bf5e
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,,009394,US,None/Unassigned,0,Visa,1,0,False,Vintech LLC,400,2026-02-03T00:01:06,False,USD,DEMO43280616,powerpth.com,,jnaeztft@sample.com,Drew,NMI,11661537520,False,US,5720,Taylor,1795,4228994900184492,Vin-Prp-PAYS-4492,False,202215608,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:06,0,Issuer Declined,3613,,,,202215605,US - Google XSale $29.99/m (12 days),8526,False,d7dd72a4-6fc8-47b9-8be6-77f96147c0b0
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,,163211,US,None/Unassigned,0,Visa,1,0,False,Minkix LLC,271,2026-02-03T00:01:07,False,USD,DEMO43280489,dgreds.com,,mudysdup@sample.com,Taylor,NMI,11661537586,False,US,4437,Wilson,1026,4228994900174097,Mnx-Drd-PAYS-4097,False,202215291,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:07,0,Issuer Declined,3613,,,,202215290,US - Google XSale $29.99/m (12 days),8526,False,188a4547-6b6b-407a-ab48-a760c1b833d4
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,,848661,US,None/Unassigned,0,Visa,1,0,False,Vintech LLC,400,2026-02-03T00:01:07,False,USD,DEMO43280529,yogainf.com,,rqbalnpb@test.com,Morgan,NMI,11661537608,False,US,2196,Williams,1791,4228994900184476,Vin-Ygy-PAYS-4476,False,202215399,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:07,0,Issuer Declined,3613,,,,202215397,US - Google XSale $29.99/m (12 days),8526,False,bfa53389-a915-4d93-9768-d9b97cc8f54b
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,030029,US,None/Unassigned,0,Visa,1,0,False,Vintech LLC,400,2026-02-03T00:01:08,False,USD,DEMO43280583,storywav.com,,mwibmyby@demo.com,Dakota,NMI,11661537601,False,US,2372,Smith,2198,756262670628,Vin-Swe-PPS-0628,False,202215527,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:01:08,0,Account Closed,3185,,,,202215526,US - Google XSale $29.99/m (12 days),8526,False,a40de097-301f-4fb1-9925-d6b23fd372f4
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,799732,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:08,False,USD,DEMO43280451,8447640519authcapture.com,,qoeamlwa@demo.com,Morgan,NMI,11661537560,False,US,8655,Brown,976,567000000854323,Rst-Aut-PYRC-4323,False,202215201,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:08,0,Stolen card.,3632,,,,202215199,Recovery Xsale Trials,8578,False,e9e3ce85-efa5-46a9-8ddf-cbb73059c0d2
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,356421,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:08,False,USD,DEMO43280361,8447640519authcapture.com,,ackzaahg@demo.com,Dakota,NMI,11661537581,False,US,2800,Anderson,976,567000000854323,Rst-Aut-PYRC-4323,False,202214944,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:08,0,Insufficient funds.,3619,,,,202214942,Recovery Xsale Trials,8578,False,ed6f1c8f-8a91-4388-acc0-79a2be2de170
1,500470,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,152421,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:01:08,False,USD,DEMO43280530,8447640519authcapture.com,,tosslzby@sample.com,Morgan,NMI,11661537594,False,US,2958,Rodriguez,976,567000000854323,Rst-Aut-PYRC-4323,False,202215401,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:01:08,0,Pick up card - SF,3822,,,,202215398,Recovery Xsale Trials,8578,False,3bbdc242-6e20-4c65-80f8-95fa6ef10a00
2,500469,Unassigned,0,Unassigned,0,39.99,Sub Start,Sub Start,6,6,1,      ,979265,US,None/Unassigned,0,Visa,1,0,False,USACommerceGate Inc,379,2026-02-02T23:59:19,False,USD,DEMO43457760,yogahubb.com,,zwtqpkig@test.com,Casey,NMI,11661531286,False,US,5658,Smith,2236,201100271635,Ucg-Yoh-DPT-1635,False,202608755,,,,115,1,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:19,0,Insufficient funds.,3619,,,,202608754,US - Google - PreAuth $2,8453,False,52b813ef-5075-4af4-9939-4ed7872be3ba
20,500473,Unassigned,0,Unassigned,0,39.99,Sub Start,Sub Start,6,6,1,765412,025129,US,None/Unassigned,0,Visa,1,0,False,Zinetic LLC,266,2026-02-02T23:59:21,False,USD,DEMO43457762,fnclfrt.com,,zopqywhq@sample.com,Jordan,NMI,11661531386,False,US,6904,Taylor,2223,201100272823,Zin-Fft-DPT-2823,False,202608757,,,,115,1,US - Google - Preauth 2.0,8443,Unassigned,0,True,False,False,2026-02-02T23:59:21,0,Approved,3616,,,,202608756,US - Google - PreAuth $2,8453,True,75208d8a-f924-454f-8cf1-a934e36b0130
20,500473,Unassigned,0,Unassigned,0,29.99,Sub Renewal,Sub Renewal,20,20,1,      ,205464,US,None/Unassigned,0,Mastercard,2,0,False,Burds | Tec Inc,208,2026-02-02T23:59:24,False,USD,DEMO42644734,fangames.pro,,alxzzaqp@test.com,Morgan,NMI,11661531573,False,US,6321,Miller,850,798765501291,Bit-Gfa-PPS-1291,False,200783317,,,,115,2,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:24,0,Issuer Declined MCC,3614,,,,200783316,US - Google XSale $29.99/m (12 days),8526,False,37e8828e-204e-4cf7-982f-531aeb8f31b0
5,500479,Unassigned,0,Unassigned,0,39.99,Sub Start,Sub Start,6,6,1,      ,287624,US,None/Unassigned,0,Visa,1,0,False,Skyline Breeze Inc,241,2026-02-02T23:59:25,False,USD,DEMO43508991,CARTRESCUE.CO,,swbxewww@demo.com,Alex,NMI,11661531549,False,US,0853,Rodriguez,1130,565500001004908_pl,Sky-Crt-EMS-4908,False,202723787,,,,115,1,Paddy Labs - Recovery Trials,8450,Unassigned,0,False,False,False,2026-02-02T23:59:25,0,Pick up card - SF,3822,,,,202723783,Paddy Labs - Recovery Trials,8450,False,4a2afbcb-f6e3-4537-ad13-45ce9aac9bfd
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,      ,607119,US,None/Unassigned,0,Mastercard,2,0,False,Burds | Tec Inc,208,2026-02-02T23:59:25,False,USD,DEMO43534030,fangames.pro,,dyliqjkf@example.com,Drew,NMI,11661531557,False,US,2629,Johnson,850,798765501291,Bit-Gfa-PPS-1291,False,202773079,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:25,0,Expired card.,3625,,,,202773079,US - Google - PreAuth $2,8453,False,7022ffd5-e3e0-4a44-ad99-0ce8748c2f31
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,,367147,US,None/Unassigned,0,Mastercard,2,0,False,Vintech LLC,400,2026-02-02T23:59:28,False,USD,DEMO39974255,storywav.com,,xewbxkwf@sample.com,Drew,NMI,,False,US,1402,Williams,1792,4228994900184468,Vin-Swe-PAYS-4468,False,202773080,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:28,0,Bin Blacklisted (Client),4168,,,,202773080,US - Google - PreAuth $2,8453,False,81b6f3f5-4c40-44de-95f1-9d2ec4d8704b
20,500473,Unassigned,0,Unassigned,0,1,Sub Start,Opt In,6,216,1,003005,935506,GB,None/Unassigned,0,Visa,1,0,False,Ribera Sapphire Ltd,282,2026-02-02T23:59:32,False,GBP,DEMO43533990,bitelb.com,05,gkuqgjmm@test.com,Avery,emerchantpay,dae197b58da20957ec057efcfabcf137,False,GB,0803,Taylor,1967,105000010037668_pl,Rib-Blb-EMP-7668-GBP,False,202773082,,,,115,0,GBP - 3DS EMP  (3 days trial 1.00 / 39.99 subscription) ,9868,Unassigned,0,True,False,False,2026-02-02T23:59:32,0,Preauthorized,3367,,,,202772988,GBP Trial 1.00 3 days -  39.99 - Monthly  subscription,9867,False,071b43d2-1301-4ac4-bba8-aef7fa56a48e
37,501988,Unassigned,0,Unassigned,0,9.99,Sub Start Retry,Sub Start Retry,206,206,7,      ,507814,US,None/Unassigned,0,Mastercard,2,0,False,PrimeEcomSetup Inc,395,2026-02-02T23:59:37,False,USD,DEMO42575514,algnaura.com,,gjnggzkn@sample.com,Skylar,NMI,11661532158,False,US,6930,Jones,1772,726117303250,Pes-Ala-PPS-3250,False,200623321,,,16298898-8228-4590-a73b-797607664c33,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-02T23:59:37,0,Insufficient funds.,3619,,,,200623320,US - Google XSale $29.99/m (12 days),8526,False,e1d76c53-ae5f-40d1-8ab7-f88533d58507
2,500469,Unassigned,0,Unassigned,0,39.99,Sub Start MID Retry,Sub Start MID Retry,209,209,2,,736605,US,None/Unassigned,0,Visa,1,0,False,Optixo LLC,270,2026-02-02T23:59:41,False,USD,DEMO43441972,spaspn.com,,puchxxrt@test.com,Sam,NMI,11661532330,False,US,8585,Taylor,1600,4228994900182132,Opt-Sas-PAYS-2132,False,202571166,,,f031b87a-a660-4428-bf69-3aa6b4f821b4,115,1,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:41,0,Issuer Declined,3613,,,,202571163,US - Google - PreAuth $2,8453,False,2d0685b4-5f57-4ae7-b5d6-c3785d78e21f
37,501988,Unassigned,0,Unassigned,0,39.99,Sub Start,Sub Start,6,6,1,      ,799518,US,None/Unassigned,0,Visa,1,0,False,BALDRIC EAST PL,251,2026-02-02T23:59:41,False,USD,DEMO43508996,8447640520 salesecure.co,,alepchvk@test.com,Skylar,NMI,11661532321,False,US,7797,Jones,981,567000000854273_pl,Bal-Sle-PYRC-4273,False,202723806,,,,115,1,Paddy Labs - Recovery Trials,8450,Unassigned,0,False,False,False,2026-02-02T23:59:41,0,Pick up card - SF,3822,,,,202723801,Paddy Labs - Recovery Trials,8450,False,ad9149c8-a1d0-4315-8213-e00340336e2b
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,,189937,US,None/Unassigned,0,Mastercard,2,0,False,Vintech LLC,400,2026-02-02T23:58:51,False,USD,DEMO43534009,sportgva.com,,tjhsizig@demo.com,Riley,NMI,,False,US,4141,Jones,1793,4228994900184450,Vin-Spg-PAYS-4450,False,202773064,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:58:51,0,Bin Blacklisted (Client),4168,,,,202773064,US - Google - PreAuth $2,8453,False,d5db3e4e-cd68-4b82-aea8-00323f148011
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,166858,884886,US,None/Unassigned,0,Visa,1,0,False,Innoac LLC,193,2026-02-02T23:59:00,False,USD,DEMO43534026,fitfirm.net,,naqlahna@example.com,Riley,NMI,11661530257,False,US,8456,Martinez,1115,565500000999280,Inn-Fif-EMS-9280,True,202773069,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,True,False,False,2026-02-02T23:59:00,0,Preauthorized,3367,,,,202773066,US - Google - PreAuth $2,8453,False,5c4ce1b2-5477-411b-b324-78bd0bb07f5f
2,500469,Unassigned,0,Unassigned,0,9.99,Sub Start Retry,Sub Start Retry,206,206,7,,646583,US,None/Unassigned,0,Visa,1,0,False,Optixo LLC,270,2026-02-02T23:59:05,False,USD,DEMO42575526,spaspn.com,,wsjlrvov@demo.com,Quinn,NMI,11661530589,False,US,8188,Taylor,1600,4228994900182132,Opt-Sas-PAYS-2132,False,200623346,,,19fe31ae-943e-4493-9a78-7fa99a84deae,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-02T23:59:05,0,Insufficient funds.,3619,,,,200623345,US - Google XSale $29.99/m (12 days),8526,False,1fd13a43-3a13-4e8e-8694-3adb3bd1cbf5
0,500483,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,135367,151332,US,None/Unassigned,0,Mastercard,2,0,False,InnovaBytes LLC,185,2026-02-02T23:59:06,False,USD,DEMO43534018,leadfit.club +1 (844) 943-4188,,gitiwwpr@test.com,Alex,NMI,11661530623,False,DE,5516,Wilson,751,785105585629,Iby-Ftl-PPS-5629,False,202773072,,,,115,0,US - Affiliation - Preauth 2.00,8552,Unassigned,0,True,False,False,2026-02-02T23:59:06,0,Preauthorized,3367,,,,202773071,US - Affiliate - PreAuth $2,8568,False,ed5d176c-4f9e-4bef-b04b-d0f6de2c15c1
20,500473,Unassigned,0,Unassigned,0,39.99,Sub Start,Sub Start,6,6,1,      ,192488,US,None/Unassigned,0,Visa,1,0,False,Zinetic LLC,266,2026-02-02T23:59:10,False,USD,DEMO43457755,dgvrty.com,,omqjssxy@demo.com,Avery,NMI,11661530852,False,US,0877,Miller,2240,201100273425,Zin-Dgv-DPT-3425,False,202608743,,,,115,1,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:10,0,Insufficient funds.,3619,,,,202608742,US - Google - PreAuth $2,8453,False,1803edac-4825-495f-9a0d-dd097906737d
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,,098941,US,None/Unassigned,0,Mastercard,2,0,False,Burds | Tec Inc,208,2026-02-02T23:59:10,False,USD,DEMO43534027,estory4u.net,,iwfknmwp@test.com,Jordan,NMI,,False,US,2171,Davis,1778,4228994900184419,Bit-Esu-PAYS-4419,False,202773074,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:10,0,Bin Blacklisted (Client),4168,,,,202773074,US - Google - PreAuth $2,8453,False,a6ffc4a8-3748-4a2c-834f-55104c9eac0b
37,501988,Unassigned,0,Unassigned,0,39.99,Sub Start,Sub Start,6,6,1,075025,260374,US,None/Unassigned,0,Visa,1,0,False,USACommerceGate Inc,379,2026-02-02T23:59:12,False,USD,DEMO43457756,maxfitn.com,,diqwnfss@demo.com,Dakota,NMI,11661530975,False,US,3366,Wilson,2210,201100271668,Ucg-Mxf-DPT-1668,False,202608746,,,,115,1,US - Google - Preauth 2.0,8443,Unassigned,0,True,False,False,2026-02-02T23:59:12,0,Approved,3616,,,,202608745,US - Google - PreAuth $2,8453,True,51fc1dee-8a03-4b8c-8b38-f0d0ad590426
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,,435794,US,None/Unassigned,0,Mastercard,2,0,False,FrontierBizUSA Inc,396,2026-02-02T23:59:16,False,USD,DEMO39974255,fttls.com,,oxkxymbw@test.com,Jane,NMI,,False,US,7093,Anderson,1788,4228994900184435,Bit-Ftl-PAYS-4435,False,202773077,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:16,0,Bin Blacklisted (Client),4168,,,,202773077,US - Google - PreAuth $2,8453,False,e1cb0743-1905-4dfa-bae8-603a5d328474
20,500473,Unassigned,0,Unassigned,0,39.99,Sub Start,Sub Start,6,6,1,      ,059488,US,None/Unassigned,0,Visa,1,0,False,Zinetic LLC,266,2026-02-02T23:59:16,False,USD,DEMO43457758,rcprlm.com,,ztntumqq@demo.com,Jordan,NMI,11661531144,False,US,7016,Taylor,2238,201100273417,Zin-Rrl-DPT-3417,False,202608751,,,,115,1,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:16,0,Insufficient funds.,3619,,,,202608749,US - Google - PreAuth $2,8453,False,cb6382d5-d2af-4e3f-8fbb-0f06d266ff97
20,500473,Unassigned,0,Unassigned,0,2,Sub Start,Opt In,6,216,1,      ,771778,US,None/Unassigned,0,Mastercard,2,0,False,Burds | Tec Inc,208,2026-02-02T23:59:16,False,USD,DEMO43534030,fangames.pro,,aivvodvn@demo.com,Sam,NMI,11661531147,False,US,1499,Garcia,850,798765501291,Bit-Gfa-PPS-1291,False,202773076,,,,115,0,US - Google - Preauth 2.0,8443,Unassigned,0,False,False,False,2026-02-02T23:59:16,0,Expired card.,3625,,,,202773076,US - Google - PreAuth $2,8453,False,6440f5c5-af73-4507-9cc3-73daf51a208d
20,500473,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,931656,US,None/Unassigned,0,Visa,1,0,False,RUSTICA LOGGIA PL,253,2026-02-03T00:00:32,False,USD,DEMO43280421,8447640519authcapture.com,,wimatwge@example.com,Jane,NMI,11661535417,False,US,3795,Rodriguez,976,567000000854323,Rst-Aut-PYRC-4323,False,202215113,,,,115,1,Recovery Xsale Trials,8578,Unassigned,0,False,False,False,2026-02-03T00:00:32,0,Account Closed,3185,,,,202215111,Recovery Xsale Trials,8578,False,1dfaef86-e3b4-4257-bd50-60bb6cc4cc62
20,500473,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,735259,US,None/Unassigned,0,Visa,1,0,False,Burds | Tec Inc,208,2026-02-03T00:00:32,False,USD,DEMO43280423,estory4u.pro,,xdhrjjas@demo.com,Sam,NMI,11661535440,False,US,1699,Davis,1113,565500000998415,Bit-Esu-EMS-8415,False,202215182,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:00:32,0,Pick up card - SF,3822,,,,202215181,US - Google XSale $29.99/m (12 days),8526,False,97d88ac2-0ea9-4c98-bed6-fe09344aa012
2,500469,Unassigned,0,Unassigned,0,29.99,Sub Start,Sub Start,6,6,1,      ,465874,US,None/Unassigned,0,Visa,1,0,False,Burds | Tec Inc,208,2026-02-03T00:00:35,False,USD,DEMO43280363,estory4u.pro,,hiwhtjwp@demo.com,Sam,NMI,11661535434,False,US,1892,Williams,1113,565500000998415,Bit-Esu-EMS-8415,False,202214952,,,,115,1,US - Google XSale $29.99/m (12 days),8526,Unassigned,0,False,False,False,2026-02-03T00:00:35,0,Expired card.,3625,,,,202214950,US - Google XSale $29.99/m (12 days),8526,False,c9c6ba80-3c06-4337-bb91-7fa4c64e60d2
